Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,Cond,,Fraction,,Injection,,
ml,mAU,ml,mS/cm,ml,Fraction,ml,Injection,
6.392,-10.71725,12.775,14.60733,,,,,
6.406,-10.47355,12.804,14.6085,,,,,
6.421,-10.19931,12.834,14.6092,,,,,
6.436,-9.93865,12.863,14.60928,,,,,
6.45,-9.730831,12.892,14.60992,,,,,
6.465,-9.362384,12.921,14.61014,,,,,
6.479,-9.117205,12.951,14.61035,,,,,
6.494,-8.855371,12.98,14.61023,,,,,
6.509,-8.559011,13.009,14.61017,,,,,
6.523,-8.299195,13.039,14.61029,,,,,
6.538,-8.07868,13.068,14.60999,,,,,
6.553,-7.8387,13.097,14.60958,,,,,
6.567,-7.586996,13.126,14.60985,,,,,
6.582,-7.304829,13.156,14.61011,,,,,
6.597,-7.052392,13.185,14.60996,,,,,
6.611,-6.747623,13.214,14.60991,,,,,
6.626,-6.467304,13.244,14.6102,,,,,
6.641,-6.218327,13.273,14.61063,,,,,
6.655,-5.984609,13.302,14.611,,,,,
6.67,-5.744005,13.331,14.61159,,,,,
6.684,-5.474174,13.361,14.61129,,,,,
6.699,-5.229227,13.39,14.61154,,,,,
6.714,-4.949376,13.419,14.61157,,,,,
6.728,-4.658238,13.449,14.61132,,,,,
6.743,-4.387738,13.478,14.61103,,,,,
6.758,-4.110836,13.507,14.61106,,,,,
6.772,-3.804379,13.536,14.6115,,,,,
6.787,-3.518825,13.566,14.61182,,,,,
6.802,-3.336208,13.595,14.61191,,,,,
6.816,-3.147676,13.624,14.61183,,,,,
6.831,-3.000478,13.654,14.61204,,,,,
6.846,-2.847847,13.683,14.6122,,,,,
6.86,-2.710962,13.712,14.61224,,,,,
6.875,-2.58538,13.741,14.61228,,,,,
6.889,-2.462445,13.771,14.61264,,,,,
6.904,-2.322523,13.8,14.61356,,,,,
6.919,-2.156486,13.829,14.61412,,,,,
6.933,-2.014862,13.859,14.61473,,,,,
6.948,-1.826984,13.888,14.61577,,,,,
6.963,-1.673138,13.917,14.61636,,,,,
6.977,-1.577276,13.946,14.6166,,,,,
6.992,-1.500802,13.976,14.61669,,,,,
7.007,-1.410839,14.005,14.61688,,,,,
7.021,-1.335742,14.034,14.61735,,,,,
7.036,-1.301878,14.063,14.61767,,,,,
7.051,-1.225183,14.093,14.61802,,,,,
7.065,-1.147225,14.122,14.6182,,,,,
7.08,-1.091834,14.151,14.6182,,,,,
7.094,-1.00121,14.181,14.61781,,,,,
7.109,-0.9188929,14.21,14.61733,,,,,
7.124,-0.8223536,14.239,14.617,,,,,
7.138,-0.7311073,14.268,14.61668,,,,,
7.153,-0.6835037,14.298,14.61625,,,,,
7.168,-0.6590374,14.327,14.61599,,,,,
7.182,-0.6783376,14.356,14.61557,,,,,
7.197,-0.7308854,14.386,14.61549,,,,,
7.212,-0.7089521,14.415,14.61564,,,,,
7.226,-0.7165416,14.444,14.61551,,,,,
7.241,-0.7166574,14.473,14.61503,,,,,
7.255,-0.68793,14.503,14.61469,,,,,
7.27,-0.6373991,14.532,14.61492,,,,,
7.285,-0.5846454,14.561,14.61564,,,,,
7.299,-0.6203669,14.591,14.61615,,,,,
7.314,-0.4977136,14.62,14.61584,,,,,
7.329,-0.4500343,14.649,14.61564,,,,,
7.343,-0.3471641,14.678,14.61556,,,,,
7.358,-0.2355325,14.708,14.6154,,,,,
7.373,-0.1483683,14.737,14.61516,,,,,
7.387,-0.08325152,14.766,14.61495,,,,,
7.402,-0.03340069,14.796,14.61478,,,,,
7.417,-0.001544317,14.825,14.6149,,,,,
7.431,0.1290114,14.854,14.61455,,,,,
7.446,0.1464531,14.883,14.61472,,,,,
7.46,0.1869565,14.913,14.61498,,,,,
7.475,0.2868797,14.942,14.61512,,,,,
7.49,0.3868638,14.971,14.6152,,,,,
7.504,0.4578785,15.001,14.61513,,,,,
7.519,0.5301723,15.03,14.61503,,,,,
7.534,0.6100402,15.059,14.61527,,,,,
