Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,Conc B,,Fraction,,Injection,,
ml,mAU,ml,%,ml,Fraction,ml,Injection,
2.74,62.64766,13.688,0,,,,,
2.745,62.65055,13.712,0,,,,,
2.75,62.64607,13.735,0,,,,,
2.754,62.64406,13.759,0,,,,,
2.759,62.6495,13.782,0,,,,,
2.764,62.64924,13.805,0,,,,,
2.768,62.65473,13.829,0,,,,,
2.773,62.65308,13.852,0,,,,,
2.778,62.6525,13.875,0,,,,,
2.782,62.65671,13.899,0,,,,,
2.787,62.65617,13.922,0,,,,,
2.792,62.65287,13.946,0,,,,,
2.796,62.65649,13.969,0,,,,,
2.801,62.66035,13.992,0,,,,,
2.806,62.66756,14.016,0,,,,,
2.81,62.67468,14.039,0,,,,,
2.815,62.67813,14.062,0,,,,,
2.82,62.68899,14.086,0,,,,,
2.824,62.69511,14.109,0,,,,,
2.829,62.70452,14.133,0,,,,,
2.834,62.71519,14.156,0,,,,,
2.838,62.72889,14.179,0,,,,,
2.843,62.73429,14.203,0,,,,,
2.848,62.74869,14.226,0,,,,,
2.852,62.76025,14.25,0,,,,,
2.857,62.77821,14.273,0,,,,,
2.862,62.79239,14.296,0,,,,,
2.866,62.80582,14.32,0,,,,,
2.871,62.82143,14.343,0,,,,,
2.876,62.84209,14.366,0,,,,,
2.88,62.86694,14.39,0,,,,,
2.885,62.89285,14.413,0,,,,,
2.89,62.9097,14.437,0,,,,,
2.895,62.928,14.46,0,,,,,
2.899,62.94327,14.483,0,,,,,
2.904,62.96434,14.507,0,,,,,
2.909,62.9747,14.53,0,,,,,
2.913,62.99516,14.554,0,,,,,
2.918,63.01117,14.577,0,,,,,
2.923,63.02923,14.6,0,,,,,
2.927,63.05145,14.624,0,,,,,
2.932,63.06314,14.647,0,,,,,
2.937,63.08075,14.67,0,,,,,
2.941,63.10108,14.694,0,,,,,
2.946,63.11521,14.717,0,,,,,
2.951,63.14275,14.741,0,,,,,
2.955,63.15667,14.764,0,,,,,
2.96,63.17318,14.787,0,,,,,
2.965,63.19286,14.811,0,,,,,
2.969,63.2119,14.834,0,,,,,
2.974,63.23562,14.857,0,,,,,
2.979,63.24401,14.881,0,,,,,
2.983,63.2575,14.904,0,,,,,
2.988,63.27282,14.928,0,,,,,
2.993,63.29146,14.951,0,,,,,
2.997,63.31337,14.974,0,,,,,
3.002,63.32173,14.998,0,,,,,
3.007,63.33562,15.021,0,,,,,
3.011,63.35615,15.045,0,,,,,
3.016,63.37035,15.068,0,,,,,
3.021,63.38505,15.091,0,,,,,
3.025,63.395,15.115,0,,,,,
3.03,63.40938,15.138,0,,,,,
3.035,63.42194,15.161,0,,,,,
3.039,63.43775,15.185,0,,,,,
3.044,63.45162,15.208,0,,,,,
3.049,63.46226,15.232,0,,,,,
3.054,63.47716,15.255,0,,,,,
3.058,63.48923,15.278,0,,,,,
3.063,63.49792,15.302,0,,,,,
3.068,63.50827,15.325,0,,,,,
3.072,63.52078,15.349,0,,,,,
3.077,63.53468,15.372,0,,,,,
3.082,63.54357,15.395,0,,,,,
3.086,63.55859,15.419,0,,,,,
3.091,63.56332,15.442,0,,,,,
3.096,63.57193,15.465,0,,,,,
